tanggal,forecast_value,model
2025-12-31,85.79823844271155,LR
2026-01-01,92.48454144613278,LR
2026-01-02,93.73706694839754,LR
2026-01-03,88.92052509073726,LR
2026-01-04,83.58526581152486,LR
2026-01-05,76.70626592614855,LR
2026-01-06,79.26663608581883,LR
2026-01-07,85.442025723016,LR
2026-01-08,91.14701081700332,LR
2026-01-09,92.2505254011688,LR
2026-01-10,88.71467286011163,LR
2026-01-11,83.58851664662974,LR
2026-01-12,80.08048169382394,LR
2026-01-13,81.61037819184754,LR
2026-01-14,86.09732958727467,LR
2026-01-15,90.26689239809984,LR
2026-01-16,91.07323970191646,LR
2026-01-17,88.39015987349411,LR
2026-01-18,84.48457864184505,LR
2026-01-19,82.27120577144241,LR
2026-01-20,83.41778893713085,LR
2026-01-21,86.75289568619557,LR
2026-01-22,89.75420218707531,LR
2026-01-23,90.29111452066364,LR
2026-01-24,88.26856737939708,LR
2026-01-25,85.41822963883524,LR
2026-01-26,83.93222785067653,LR
2026-01-27,84.84948090074957,LR
2026-01-28,87.33094623736493,LR
2026-01-29,89.49404789823947,LR
