tanggal,forecast_value,model
2025-12-31,67.35128387728749,SVR
2026-01-01,92.12768871939151,SVR
2026-01-02,78.33970290834318,SVR
2026-01-03,79.26063772565598,SVR
2026-01-04,80.42637426513372,SVR
2026-01-05,80.56300212160157,SVR
2026-01-06,81.18891038388513,SVR
2026-01-07,75.81429795148344,SVR
2026-01-08,82.83918811494847,SVR
2026-01-09,81.44616542545731,SVR
2026-01-10,81.90858739361407,SVR
2026-01-11,79.7591328979977,SVR
2026-01-12,76.36316777412291,SVR
2026-01-13,76.95417120688634,SVR
2026-01-14,75.82581674934573,SVR
2026-01-15,80.74594973910872,SVR
2026-01-16,82.29996873110554,SVR
2026-01-17,82.78812804455376,SVR
2026-01-18,78.85146026323935,SVR
2026-01-19,73.03445321443925,SVR
2026-01-20,70.2352507580486,SVR
2026-01-21,71.83829867855582,SVR
2026-01-22,79.66790500967413,SVR
2026-01-23,84.37710936379766,SVR
2026-01-24,84.29724374867483,SVR
2026-01-25,77.43949352346424,SVR
2026-01-26,70.65180779447499,SVR
2026-01-27,68.10936016767825,SVR
2026-01-28,70.99344971948749,SVR
2026-01-29,80.15715520786885,SVR
