tanggal,forecast_value,model
2025-12-31,83.25628663396834,XGBOOST
2026-01-01,88.82430275774,XGBOOST
2026-01-02,92.63918985795974,XGBOOST
2026-01-03,85.57063291835783,XGBOOST
2026-01-04,83.87430982780455,XGBOOST
2026-01-05,80.0932760324478,XGBOOST
2026-01-06,76.49072624540328,XGBOOST
2026-01-07,80.99341981554029,XGBOOST
2026-01-08,85.43378424882887,XGBOOST
2026-01-09,89.24448158359526,XGBOOST
2026-01-10,89.3534883508682,XGBOOST
2026-01-11,87.50197634792326,XGBOOST
2026-01-12,85.84008948612211,XGBOOST
2026-01-13,84.16044530534742,XGBOOST
2026-01-14,84.6984621953964,XGBOOST
2026-01-15,84.29053205776214,XGBOOST
2026-01-16,85.75031192064284,XGBOOST
2026-01-17,88.56332044601439,XGBOOST
2026-01-18,90.03687917232511,XGBOOST
2026-01-19,89.50313948631285,XGBOOST
2026-01-20,87.60173648500441,XGBOOST
2026-01-21,89.78251304674147,XGBOOST
2026-01-22,90.63708675479887,XGBOOST
2026-01-23,88.38980586385725,XGBOOST
2026-01-24,90.2661431379318,XGBOOST
2026-01-25,91.7793771214485,XGBOOST
2026-01-26,90.02079775953291,XGBOOST
2026-01-27,90.60462518072127,XGBOOST
2026-01-28,91.82381778144835,XGBOOST
2026-01-29,89.84309341192244,XGBOOST
